,crypto,date,time,high,low,open,close,gap,from_time,to_time,gubun
21,BTC,2017-01-04,2017-01-04 20:00:00,1082.48,1059.27,1062.13,1077.48,1.445209155188151,2017-01-04 14:00:00,2017-01-05 02:00:00,up
46,BTC,2017-07-20,2017-07-20 20:00:00,2478.05,2353.2,2354.8,2472.97,5.0182605741464075,2017-07-20 14:00:00,2017-07-21 02:00:00,up
71,BTC,2018-04-12,2018-04-12 20:00:00,8051.95,6961.0,6962.6,7757.92,11.422744377100503,2018-04-12 14:00:00,2018-04-13 02:00:00,up
93,BTC,2018-12-20,2018-12-20 17:00:00,4077.98,3792.53,3792.53,4026.36,6.165541208639086,2018-12-20 11:00:00,2018-12-20 23:00:00,up
114,BTC,2019-04-02,2019-04-02 13:00:00,4749.89,4184.0,4186.65,4637.51,10.768991914776747,2019-04-02 07:00:00,2019-04-02 19:00:00,up
145,BTC,2019-10-25,2019-10-25 19:00:00,7649.1,7480.65,7481.52,7622.72,1.8873170157935795,2019-10-25 13:00:00,2019-10-26 01:00:00,up
162,BTC,2020-03-13,2020-03-13 11:00:00,5463.85,3948.92,4240.69,5098.63,20.231141630253582,2020-03-13 05:00:00,2020-03-13 17:00:00,up
