,crypto,date,time,high,low,open,close,gap,from_time,to_time,gubun
2,BCH,2017-08-04,2017-08-04 01:00:00,488.82,401.54,482.32,404.61,-16.11171006800464,2017-08-03 19:00:00,2017-08-04 07:00:00,down
42,BCH,2018-01-16,2018-01-16 16:00:00,2291.73,2103.38,2275.92,2105.71,-7.478733874652889,2018-01-16 10:00:00,2018-01-16 22:00:00,down
56,BCH,2018-11-27,2018-11-27 05:00:00,177.24,170.83,181.68,171.9,-5.383091149273448,2018-11-26 23:00:00,2018-11-27 11:00:00,down
99,BCH,2019-02-24,2019-02-24 23:00:00,151.72,129.96,151.68,137.42,-9.40137130801689,2019-02-24 17:00:00,2019-02-25 05:00:00,down
104,BCH,2019-07-14,2019-07-14 03:00:00,349.17,338.06,348.85,338.71,-2.906693421241233,2019-07-13 21:00:00,2019-07-14 09:00:00,down
145,BCH,2020-03-12,2020-03-12 19:00:00,239.59,193.08,239.51,198.49,-17.12663354348461,2020-03-12 13:00:00,2020-03-13 01:00:00,down
