,crypto,date,time,high,low,open,close,gap,from_time,to_time,gubun
10,ETH,2017-03-16,2017-03-16 09:00:00,38.54,35.15,35.22,37.93,7.694491766042025,2017-03-16 03:00:00,2017-03-16 15:00:00,up
34,ETH,2017-12-12,2017-12-12 08:00:00,519.35,476.05,476.2,513.29,7.788744225115493,2017-12-12 02:00:00,2017-12-12 14:00:00,up
71,ETH,2018-04-12,2018-04-12 20:00:00,476.15,433.71,433.78,462.48,6.616257088846892,2018-04-12 14:00:00,2018-04-13 02:00:00,up
92,ETH,2018-12-28,2018-12-28 16:00:00,119.95,116.93,116.98,119.05,1.7695332535476092,2018-12-28 10:00:00,2018-12-28 22:00:00,up
114,ETH,2019-04-02,2019-04-02 13:00:00,154.29,141.93,142.06,152.04,7.025200619456561,2019-04-02 07:00:00,2019-04-02 19:00:00,up
145,ETH,2019-10-25,2019-10-25 19:00:00,166.56,165.03,162.72,165.41,1.6531465093411981,2019-10-25 13:00:00,2019-10-26 01:00:00,up
162,ETH,2020-03-13,2020-03-13 11:00:00,120.33,113.5,99.23,117.63,18.5427794013907,2020-03-13 05:00:00,2020-03-13 17:00:00,up
