,crypto,date,time,high,low,open,close,gap,from_time,to_time,gubun
16,ETH,2017-03-18,2017-03-18 15:00:00,41.18,37.8,40.9,38.24,-6.503667481662584,2017-03-18 09:00:00,2017-03-18 21:00:00,down
48,ETH,2017-12-22,2017-12-22 22:00:00,648.05,562.39,647.27,565.59,-12.619154294189435,2017-12-22 16:00:00,2017-12-23 04:00:00,down
69,ETH,2018-01-16,2018-01-16 18:00:00,1117.22,990.27,1115.49,1031.26,-7.550941738608147,2018-01-16 12:00:00,2018-01-17 00:00:00,down
94,ETH,2018-09-05,2018-09-05 18:00:00,283.57,266.22,283.41,266.47,-5.977206167742845,2018-09-05 12:00:00,2018-09-06 00:00:00,down
124,ETH,2019-02-24,2019-02-24 23:00:00,161.9,138.21,161.81,145.54,-10.055002781039498,2019-02-24 17:00:00,2019-02-25 05:00:00,down
149,ETH,2019-09-24,2019-09-24 23:00:00,192.66,190.75,194.77,190.75,-2.0639728911023307,2019-09-24 17:00:00,2019-09-25 05:00:00,down
170,ETH,2020-03-12,2020-03-12 19:00:00,168.54,129.13,167.71,134.63,-19.724524476775393,2020-03-12 13:00:00,2020-03-13 01:00:00,down
