,crypto,date,time,high,low,open,close,gap,from_time,to_time,gubun
1,BCH,2017-08-18,2017-08-18 00:00:00,395.72,316.42,325.38,395.59,21.5778474399164,2017-08-17 18:00:00,2017-08-18 06:00:00,up
45,BCH,2018-02-08,2018-02-08 19:00:00,1254.62,1086.78,1087.5,1251.59,15.0887356321839,2018-02-08 13:00:00,2018-02-09 01:00:00,up
68,BCH,2018-12-20,2018-12-20 17:00:00,154.01,148.37,140.25,153.08,9.147950089126569,2018-12-20 11:00:00,2018-12-20 23:00:00,up
89,BCH,2019-04-02,2019-04-02 13:00:00,204.84,181.0,168.05,196.96,17.203213329366257,2019-04-02 07:00:00,2019-04-02 19:00:00,up
102,BCH,2019-10-25,2019-10-25 01:00:00,217.66,214.04,214.13,217.23,1.4477186755709122,2019-10-24 19:00:00,2019-10-25 07:00:00,up
149,BCH,2020-01-14,2020-01-14 23:00:00,338.38,298.28,299.68,327.95,9.433395621996791,2020-01-14 17:00:00,2020-01-15 05:00:00,up
