,crypto,date,time,high,low,open,close,gap,from_time,to_time,gubun
21,BTC,2017-01-11,2017-01-11 20:00:00,868.92,821.11,866.49,823.89,-4.91638680192501,2017-01-11 14:00:00,2017-01-12 02:00:00,down
47,BTC,2017-09-14,2017-09-14 21:00:00,3686.28,3507.74,3623.22,3507.76,-3.1866682122531778,2017-09-14 15:00:00,2017-09-15 03:00:00,down
69,BTC,2018-01-16,2018-01-16 18:00:00,12204.0,11078.6,12156.28,11415.55,-6.093393702678791,2018-01-16 12:00:00,2018-01-17 00:00:00,down
98,BTC,2018-11-19,2018-11-19 22:00:00,5280.68,5142.72,5280.68,5174.92,-2.002772370225051,2018-11-19 16:00:00,2018-11-20 04:00:00,down
106,BTC,2019-06-27,2019-06-27 05:00:00,13819.81,11838.15,13813.85,12725.06,-7.881872179008755,2019-06-26 23:00:00,2019-06-27 11:00:00,down
128,BTC,2019-07-16,2019-07-16 02:00:00,10652.01,10437.12,10645.65,10437.12,-1.9588282537937922,2019-07-15 20:00:00,2019-07-16 08:00:00,down
170,BTC,2020-03-12,2020-03-12 19:00:00,7371.88,5790.07,7358.56,6262.01,-14.901692722489186,2020-03-12 13:00:00,2020-03-13 01:00:00,down
