,press company,date,title,url,abstract,date detail,head article,main article
0,https://www.tokenpost.kr/,2019. 10. 27.,"존 맥아피 ""비트코인, 2020년 200만 달러까지 상승"" 전망",https://www.tokenpost.kr/article-20901,"암호화폐 전문 미디어 크립토글로브에 따르면, 세계적인 보안 소프트웨어 개발자이자 비트코인 강세론자 존 맥아피(John McAfee)가 
최근 ""2020년 ...","<p class=""viewInfoTime"">2019-10-27 일 04:50</p>","암호화폐 전문 미디어 크립토글로브에 따르면, 세계적인 보안 소프트웨어 개발자이자 비트코인 강세론자 존 맥아피(John McAfee)가 최근 ""2020년 비트코인 가격은 200만 달러까지 상승할 것""이라고 전망했다. 이와 관련해 그는 ""비트코인의 총 발행량은 2,100만 개며, 그중 700만 BTC는 영구 유실된 물량이다. 또 비트코인 창시자인 나카모토 사토시가 없어지면 100만 BTC가 더 사라지게 된다""며 ""만약 2020년 말 비트코인이 200만 달러 미만이라면 수학적 계산 자체가 의미없어질만큼 실망적인 일""이라고 설명했다.",Provided by 코인니스
1,https://www.tokenpost.kr/,2019. 10. 27.,"톰 리 ""가장 좋은 비트코인 투자 전략은 '존버'""",https://www.tokenpost.kr/article-20898,"암호화폐 전문 미디어 데일리호들에 따르면, 펀드스트랫 공동 창업자이자 수석 애널리스트인 톰 리가 ""비트코인 투자 방법 중 수익률을 
극대화할 수 ...","<p class=""viewInfoTime"">2019-10-27 일 02:04</p>","암호화폐 전문 미디어 데일리호들에 따르면, 펀드스트랫 공동 창업자이자 수석 애널리스트인 톰 리가 ""비트코인 투자 방법 중 수익률을 극대화할 수 있는 가장 좋은 전략은 '존버'""라고 말했다. 이와 관련해 그는 ""비트코인 투자는 매년 열흘의 기간동안 최고의 이익을 낸다. 비트코인 투자 수익률이 가장 좋은 열흘동안 비트코인을 보유하지 않은 채 비트코인 투자를 강행하면 연간 수익률은 -25%에 그친다""고 설명했다.",Provided by 코인니스
2,https://www.tokenpost.kr/,2019. 10. 26.,노보그라츠 “백트 BTC 옵션 상품 출시 후 비트코인 1만 달러 상승”,https://www.tokenpost.kr/article-20867,"암호화폐 전문 미디어 비트코이니스트에 따르면 미국 암호화폐 전문 투자운용사 갤럭시디지털 CEO 마이크 노보그라츠가 “백트 비트코인 
옵션이 ...","<p class=""viewInfoTime"">2019-10-26 토 09:19</p>","암호화폐 전문 미디어 비트코이니스트에 따르면 미국 암호화폐 전문 투자운용사 갤럭시디지털 CEO 마이크 노보그라츠가 “백트 비트코인 옵션이 정식 출시되면 BTC 가격이 1만 달러까지 상승할 것”이라고 전망했다. 이와 관련 그는 “일각에서 제 3의 기관에 BTC 관리를 맡기는 것은 탈중앙, 탈중개를 표방하는 암호화폐 취지와 거리가 있다고 비판한다. 하지만 이를 통해 우리는 보다 쉽게 BTC를 보관할 수 있고 기관투자자 유입도 이끌 수 있다. 업계 발전에는 유리한 셈”이라고 말했다.",Provided by 코인니스
3,https://www.tokenpost.kr/,2019. 10. 26.,"中 전국인민대표상무위원회, 암호법 통과...내년 1월 시행",https://www.tokenpost.kr/article-20887,"Provided by 코인니스. <저작권자 © TokenPost, 무단전재 및 재배포 금지 >. 댓글. 댓글 서비스는 로그인 이후 
사용가능합니다. 회원가입 로그인.","<p class=""viewInfoTime"">2019-10-26 토 17:11</p>","중국 외신에 따르면, 제 13회 전국인민대표상무위원회(全国人大常委会)가 오늘(26일) 개최된 14차 회의에서 암호법을 통과시켰다. 암호법은 오는 2020년 1월 1일부터 시행될 예정이다. 암호법은 암호 기법의 적용과 관리를 규정화하고, 암호화 사업의 발전을 도모, 인터넷 네트워크와 정보의 보안을 보장하고 암호 관리의 현대화, 규정화, 법치화 수준을 향상시키는 등 중국 암호산업의 종합적이고 기본이 되는 법률이다.",Provided by 코인니스
