,period,raw_data,closer#,category,label,Silhouette,result
0,202011,-0.0002680780901573598,2,2.0,6.0,0.6969348000000001,1
1,202011,0.0002905687570819282,2,2.0,6.0,0.6969348000000001,1
2,202011,-0.005964896427467465,2,2.0,11.0,0.6969348000000001,1
3,202011,-0.000858584612760751,2,2.0,1.0,0.6969348000000001,1
4,202011,-0.0007699965633219108,2,2.0,1.0,0.6969348000000001,1
5,202011,-0.0010391940330737271,2,2.0,1.0,0.6969348000000001,1
6,202011,-0.0019953114638337865,2,2.0,7.0,0.6969348000000001,1
7,202011,-0.0018873919370525983,2,2.0,7.0,0.6969348000000001,1
8,202011,-0.0007899818581790896,2,2.0,1.0,0.6969348000000001,1
9,202011,-0.001955002026516013,2,2.0,7.0,0.6969348000000001,1
10,202011,-0.0037644634209573267,2,2.0,11.0,0.6969348000000001,1
11,202011,-0.00014684095171105583,2,2.0,6.0,0.6969348000000001,1
12,202011,-9.088677274121437e-05,2,2.0,6.0,0.6969348000000001,1
13,202011,-0.0008290240570204332,2,2.0,1.0,0.6969348000000001,1
14,202011,-0.00010684740729629993,2,2.0,6.0,0.6969348000000001,1
15,202011,-0.0006923645990900695,2,2.0,7.0,0.6969348000000001,1
16,202011,-0.0028533597849309447,2,2.0,11.0,0.6969348000000001,1
17,202011,-0.0030917360726743937,2,2.0,11.0,0.6969348000000001,1
18,202011,-0.0016579594102222473,2,2.0,7.0,0.6969348000000001,1
19,202011,-0.0032391940616071225,2,2.0,11.0,0.6969348000000001,1
20,202011,-0.004036119421944023,2,2.0,11.0,0.6969348000000001,1
21,202011,-0.004179047606885433,2,2.0,11.0,0.6969348000000001,1
22,202011,-0.00038692527799867094,2,2.0,7.0,0.6969348000000001,1
23,202011,-0.0011026617389870807,2,2.0,1.0,0.6969348000000001,1
24,202011,-0.0032343289314303546,2,2.0,11.0,0.6969348000000001,1
25,202011,-0.004506992679089308,2,2.0,11.0,0.6969348000000001,1
26,202011,-0.0023281238714116625,2,2.0,11.0,0.6969348000000001,1
27,202011,-0.002035996657796204,2,2.0,7.0,0.6969348000000001,1
28,202011,-0.00288675082847476,2,2.0,11.0,0.6969348000000001,1
29,202011,-0.0026123059168457986,2,2.0,11.0,0.6969348000000001,1
