,period,raw_data,closer#,category,label,Silhouette
0,202011,2.739703627412382e-05,2,3,1.0,0.12622885
1,202011,-0.005932579349027947,2,3,12.0,0.12622885
2,202011,-0.0003053124736470636,2,3,13.0,0.12622885
3,202011,-0.002020748303621076,2,3,12.0,0.12622885
4,202011,-0.0014422380168980452,2,3,12.0,0.12622885
5,202011,-0.00021248169217869873,2,3,13.0,0.12622885
6,202011,9.728583954711212e-05,2,3,1.0,0.12622885
7,202011,-0.0018006218050140887,2,3,12.0,0.12622885
8,202011,-0.0018347499935771339,2,3,11.0,0.12622885
9,202011,-0.0004207539379331138,2,3,13.0,0.12622885
10,202011,-0.00011122487281681969,2,3,1.0,0.12622885
11,202011,-0.0009885252664753352,2,3,11.0,0.12622885
12,202011,-0.0005784083986145561,2,3,11.0,0.12622885
13,202011,-2.6402826624689623e-05,2,3,1.0,0.12622885
14,202011,8.080656662059483e-06,2,3,1.0,0.12622885
15,202011,-0.0006607094729406527,2,3,11.0,0.12622885
16,202011,-0.00031596760447428097,2,3,1.0,0.12622885
17,202011,-0.0002685548414592631,2,3,1.0,0.12622885
18,202011,-8.65362177228235e-05,2,3,1.0,0.12622885
19,202011,-0.0002889943990885513,2,3,13.0,0.12622885
20,202011,-0.0012827404960262356,2,3,11.0,0.12622885
21,202011,0.0005644148308419972,2,3,1.0,0.12622885
22,202011,-0.0009800232003181009,2,3,11.0,0.12622885
23,202011,-0.000194576145731844,2,3,1.0,0.12622885
24,202011,-0.0001645921915405779,2,3,1.0,0.12622885
25,202011,-0.0004530599360805354,2,3,1.0,0.12622885
26,202011,0.00014372328932950041,2,3,1.0,0.12622885
27,202011,-0.0009404896697196818,2,3,13.0,0.12622885
28,202011,0.00036452044925681546,2,3,1.0,0.12622885
29,202011,-0.000664549117354909,2,3,11.0,0.12622885
30,202011,-0.000405985221877927,2,3,1.0,0.12622885
31,202011,-0.000528371762484312,2,3,13.0,0.12622885
32,202011,-0.0005452826399414334,2,3,11.0,0.12622885
33,202011,-0.0005171527909260476,2,3,13.0,0.12622885
34,202011,-0.0005284104506426957,2,3,13.0,0.12622885
35,202011,-0.001171566470984544,2,3,11.0,0.12622885
36,202011,-0.0003252432007684547,2,3,1.0,0.12622885
37,202011,-0.002288690833665896,2,3,12.0,0.12622885
38,202011,-0.00024532704200282753,2,3,13.0,0.12622885
39,202011,-0.0005501179767634312,2,3,11.0,0.12622885
40,202011,-0.00015029821937787347,2,3,1.0,0.12622885
41,202011,-0.0017452418657194358,2,3,12.0,0.12622885
42,202011,-8.96414699673187e-05,2,3,13.0,0.12622885
43,202011,0.00018848938663722947,2,3,1.0,0.12622885
44,202011,-0.000476423565269215,2,3,1.0,0.12622885
45,202011,-0.0005487646027177107,2,3,1.0,0.12622885
46,202011,0.00018406049225632158,2,3,1.0,0.12622885
47,202011,-0.0004530939170581405,2,3,13.0,0.12622885
48,202011,-0.001204138971552311,2,3,11.0,0.12622885
49,202011,-0.0017914746609312714,2,3,12.0,0.12622885
50,202011,-0.002020481073996052,2,3,12.0,0.12622885
51,202011,-0.0005307277457905001,2,3,11.0,0.12622885
52,202011,-8.367008987988811e-05,2,3,1.0,0.12622885
53,202011,-0.0003758987095716293,2,3,1.0,0.12622885
54,202011,-0.0005321478472251329,2,3,13.0,0.12622885
55,202011,-0.00044455723578721516,2,3,1.0,0.12622885
56,202011,-0.0021364518457266967,2,3,12.0,0.12622885
57,202011,-0.0007635407875204691,2,3,1.0,0.12622885
58,202011,-0.0018512349767843262,2,3,12.0,0.12622885
59,202011,0.0004644936897966545,2,3,1.0,0.12622885
60,202011,-0.0019850831808435033,2,3,12.0,0.12622885
61,202011,0.00018786883760185446,2,3,1.0,0.12622885
62,202011,-0.00025008078919199763,2,3,13.0,0.12622885
63,202011,-0.00043537294994166586,2,3,1.0,0.12622885
64,202011,-0.0005239992772840197,2,3,13.0,0.12622885
65,202011,-8.71764257317409e-05,2,3,1.0,0.12622885
66,202011,0.0006484139556414448,2,3,1.0,0.12622885
67,202011,-0.0001045991737919394,2,3,1.0,0.12622885
68,202011,-0.0003525418807839742,2,3,1.0,0.12622885
69,202011,0.00022254981639889591,2,3,1.0,0.12622885
70,202011,-0.0001331093203043565,2,3,13.0,0.12622885
71,202011,-0.0016835444336174988,2,3,12.0,0.12622885
72,202011,-0.0013027714581767213,2,3,11.0,0.12622885
73,202011,-4.5910200860816985e-05,2,3,1.0,0.12622885
74,202011,-0.0021392313623800874,2,3,12.0,0.12622885
75,202011,-0.0001607363493894809,2,3,1.0,0.12622885
76,202011,-0.00028388883096340577,2,3,13.0,0.12622885
77,202011,0.00019970567536802263,2,3,1.0,0.12622885
78,202011,-0.0005191311886301264,2,3,13.0,0.12622885
79,202011,-0.0007632545288652182,2,3,11.0,0.12622885
80,202011,-0.00163443836994702,2,3,12.0,0.12622885
81,202011,-0.0018461081515852129,2,3,12.0,0.12622885
82,202011,0.00010507006532861851,2,3,1.0,0.12622885
83,202011,-0.0009744107152801007,2,3,12.0,0.12622885
84,202011,-0.0011669033016369213,2,3,11.0,0.12622885
85,202011,-1.4091477059992031e-05,2,3,1.0,0.12622885
86,202011,-0.000143012319895206,2,3,1.0,0.12622885
87,202011,-0.0010708512684686866,2,3,11.0,0.12622885
88,202011,-0.0014101532744825818,2,3,12.0,0.12622885
89,202011,-0.00037435784983244955,2,3,13.0,0.12622885
90,202011,1.6570669431530404e-05,2,3,1.0,0.12622885
91,202011,-0.0008886933772009797,2,3,11.0,0.12622885
92,202011,0.00038665937441692224,2,3,1.0,0.12622885
93,202011,0.00022787625341152306,2,3,1.0,0.12622885
94,202011,-0.0004131298093489022,2,3,13.0,0.12622885
95,202011,0.0002028518231918497,2,3,1.0,0.12622885
96,202011,-0.00044093833326769527,2,3,11.0,0.12622885
97,202011,-0.0016681492388306652,2,3,12.0,0.12622885
98,202011,-0.001630672183528077,2,3,11.0,0.12622885
99,202011,-0.0015198346810939257,2,3,12.0,0.12622885
100,202011,-0.0002769075155515566,2,3,13.0,0.12622885
101,202011,-0.001370614189945627,2,3,11.0,0.12622885
102,202011,-0.002094813926014467,2,3,12.0,0.12622885
103,202011,-0.0007563735045550857,2,3,11.0,0.12622885
104,202011,-0.0005018034173554042,2,3,1.0,0.12622885
105,202011,-5.796619503598777e-05,2,3,1.0,0.12622885
106,202011,-0.00021749069113866426,2,3,13.0,0.12622885
107,202011,-0.0005025371263036504,2,3,11.0,0.12622885
108,202011,-0.00029595736366900383,2,3,13.0,0.12622885
109,202011,-0.0005254114978379221,2,3,1.0,0.12622885
110,202011,-0.00018795960349962115,2,3,1.0,0.12622885
111,202011,-0.000922238299754099,2,3,13.0,0.12622885
112,202011,-0.0007857170723582386,2,3,13.0,0.12622885
113,202011,-0.0001461932469828753,2,3,1.0,0.12622885
114,202011,-7.000607067311648e-05,2,3,1.0,0.12622885
115,202011,-6.561423055245541e-05,2,3,13.0,0.12622885
116,202011,-0.0006203913361969171,2,3,13.0,0.12622885
117,202011,-0.0007595111494447338,2,3,11.0,0.12622885
118,202011,0.0003204411941260332,2,3,1.0,0.12622885
119,202011,-0.00016205316815103287,2,3,1.0,0.12622885
120,202011,-0.00024212134249864902,2,3,1.0,0.12622885
121,202011,-0.000696633877032582,2,3,11.0,0.12622885
122,202011,0.0002295839682483347,2,3,13.0,0.12622885
123,202011,-0.0009670191055010946,2,3,11.0,0.12622885
124,202011,-0.0012738072873617057,2,3,11.0,0.12622885
125,202011,-0.00019661423371871933,2,3,1.0,0.12622885
126,202011,-0.0005530168550831149,2,3,13.0,0.12622885
127,202011,-0.000304448900569696,2,3,1.0,0.12622885
128,202011,7.699429479544052e-05,2,3,1.0,0.12622885
129,202011,-0.0007147899987830897,2,3,1.0,0.12622885
130,202011,-0.0016690835397457705,2,3,11.0,0.12622885
