date,price,open,high,low,vol,change
2020-03-16,4541.20 ,5366.40 ,5369.30 ,4516.50 ,2.14M,-15.38%
2020-03-15,5366.30 ,5182.90 ,5863.30 ,5120.60 ,1.61M,3.54%
2020-03-14,5182.70 ,5589.40 ,5634.90 ,5072.20 ,1.69M,-7.19%
2020-03-13,5584.30 ,4815.20 ,5934.30 ,3869.50 ,4.17M,15.71%
2020-03-12,4826.00 ,7935.20 ,7963.10 ,4546.60 ,3.22M,-39.18%
2020-03-11,7935.10 ,7892.10 ,7976.50 ,7606.00 ,1.10M,0.56%
2020-03-10,7891.20 ,7933.00 ,8145.50 ,7740.20 ,1.20M,-0.53%
2020-03-09,7933.00 ,8035.80 ,8158.80 ,7648.70 ,1.54M,-1.26%
2020-03-08,8034.10 ,8887.80 ,8888.00 ,8015.30 ,1.11M,-9.61%
2020-03-07,8887.80 ,9134.20 ,9180.80 ,8848.70 ,750.65K,-2.70%
2020-03-06,9134.80 ,9060.60 ,9165.20 ,9004.90 ,1.04M,0.82%
2020-03-05,9060.30 ,8757.90 ,9147.30 ,8751.50 ,950.76K,3.45%
2020-03-04,8757.90 ,8761.30 ,8840.30 ,8679.70 ,759.69K,-0.04%
2020-03-03,8761.40 ,8906.10 ,8911.70 ,8669.30 ,1.01M,-1.61%
2020-03-02,8904.80 ,8537.50 ,8961.80 ,8503.10 ,1.02M,4.27%
2020-03-01,8540.00 ,8543.80 ,8737.20 ,8437.20 ,784.05K,-0.04%
2020-02-29,8543.70 ,8697.10 ,8793.70 ,8539.80 ,683.44K,-1.77%
2020-02-28,8697.50 ,8820.10 ,8898.70 ,8451.90 ,1.08M,-1.37%
2020-02-27,8818.60 ,8800.10 ,8968.30 ,8538.50 ,1.13M,0.21%
2020-02-26,8800.30 ,9317.10 ,9368.10 ,8672.00 ,1.32M,-5.55%
2020-02-25,9317.20 ,9662.60 ,9672.30 ,9269.80 ,937.97K,-3.57%
2020-02-24,9662.70 ,9943.20 ,9981.00 ,9507.00 ,980.00K,-2.82%
2020-02-23,9942.70 ,9655.60 ,9965.60 ,9653.40 ,775.88K,2.97%
2020-02-22,9655.70 ,9684.50 ,9706.50 ,9569.80 ,589.88K,-0.30%
2020-02-21,9684.50 ,9602.20 ,9747.10 ,9574.50 ,716.61K,0.85%
2020-02-20,9602.40 ,9611.90 ,9681.40 ,9448.90 ,870.80K,-0.07%
2020-02-19,9609.40 ,10158.60 ,10230.90 ,9424.30 ,905.95K,-5.40%
2020-02-18,10158.40 ,9701.50 ,10230.10 ,9601.60 ,945.91K,4.71%
2020-02-17,9701.40 ,9931.70 ,9951.50 ,9468.90 ,961.88K,-2.32%
2020-02-16,9932.30 ,9907.40 ,10056.40 ,9654.90 ,808.91K,0.25%
2020-02-15,9907.70 ,10336.00 ,10369.80 ,9831.70 ,808.81K,-4.12%
