date,price,open,high,low,vol,change
2020-03-16,"20,188.52 ","20,917.53 ","21,768.28 ","20,116.46 ",775.91M,-12.93%
2020-03-13,"23,185.62 ","21,973.82 ","23,189.76 ","21,285.37 ",843.08M,9.36%
2020-03-12,"21,200.62 ","22,184.71 ","22,837.95 ","21,154.46 ",911.77M,-9.99%
2020-03-11,"23,553.22 ","24,604.63 ","24,604.63 ","23,328.32 ",663.96M,-5.86%
2020-03-10,"25,018.16 ","24,453.00 ","25,020.99 ","23,690.34 ",654.86M,4.89%
2020-03-09,"23,851.02 ","24,992.36 ","24,992.36 ","23,706.07 ",750.43M,-7.79%
2020-03-06,"25,864.78 ","25,457.21 ","25,994.38 ","25,226.62 ",601.01M,-0.98%
2020-03-05,"26,121.28 ","26,671.92 ","26,671.92 ","25,943.33 ",477.37M,-3.58%
2020-03-04,"27,090.86 ","26,383.68 ","27,102.34 ","26,286.31 ",457.59M,4.53%
2020-03-03,"25,917.41 ","26,762.47 ","27,084.59 ","25,706.28 ",647.08M,-2.94%
2020-03-02,"26,703.32 ","25,590.51 ","26,706.17 ","25,391.96 ",637.20M,5.09%
2020-02-28,"25,409.36 ","25,270.83 ","25,494.24 ","24,681.01 ",922.68M,-1.39%
2020-02-27,"25,766.64 ","26,526.00 ","26,775.31 ","25,752.82 ",670.37M,-4.42%
2020-02-26,"26,957.59 ","27,159.46 ","27,542.78 ","26,890.97 ",477.57M,-0.46%
2020-02-25,"27,081.36 ","28,037.65 ","28,149.20 ","26,997.62 ",513.27M,-3.15%
2020-02-24,"27,960.80 ","28,402.93 ","28,402.93 ","27,912.44 ",458.71M,-3.56%
2020-02-21,"28,992.41 ","29,146.53 ","29,146.53 ","28,892.70 ",313.44M,-0.78%
2020-02-20,"29,219.98 ","29,296.25 ","29,368.45 ","28,959.65 ",289.07M,-0.44%
2020-02-19,"29,348.03 ","29,312.70 ","29,409.09 ","29,274.38 ",242.65M,0.40%
2020-02-18,"29,232.19 ","29,282.78 ","29,330.16 ","29,116.81 ",264.16M,-0.56%
2020-02-14,"29,398.08 ","29,440.47 ","29,463.04 ","29,283.18 ",232.55M,-0.09%
2020-02-13,"29,423.31 ","29,436.03 ","29,535.40 ","29,345.93 ",294.36M,-0.43%
2020-02-12,"29,551.42 ","29,406.75 ","29,568.57 ","29,406.75 ",309.53M,0.94%
2020-02-11,"29,276.34 ","29,390.71 ","29,415.39 ","29,210.47 ",281.85M,0.00%
2020-02-10,"29,276.82 ","28,995.66 ","29,278.07 ","28,995.66 ",257.46M,0.60%
2020-02-07,"29,102.51 ","29,286.92 ","29,286.92 ","29,056.98 ",253.87M,-0.94%
2020-02-06,"29,379.77 ","29,388.58 ","29,408.05 ","29,246.93 ",263.70M,0.30%
