,period,username,date,retweets,favorites,hashtags,text
1,201922,balajis,2019-08-11 07:41:32+00:00,0,1,,"So, for small disputes the chain or smart contract would likely handle it. This happens many times per day with Bitcoin & Ethereum. For larger disputes you might need to go outside to a legal system. Note this is separate from legal requirements which will vary by jurisdiction."
2,201922,balajis,2019-08-10 22:22:34+00:00,5,29,,"Yes. Delaware is preferred by VCs because it has the best dispute resolution. They've seen every edge case. They are predictable. In the fullness of time, though, smart contract systems like Ethereum offer automation + even better predictability. Especially for non-Americans."
3,201922,cburniske,2019-08-10 17:47:45+00:00,75,324,,"""Ethereum is an emerging economy. And ETH is the reserve asset of that economy…The higher the value of the base money, the greater the economic bandwidth of the system."" -@RyanSAdams"
4,201922,ethereumJoseph,2019-08-13 17:31:00+00:00,29,67,#Libra #Ethereum #blockchain,Need to get up to speed on the #Libra fiasco? Trying to learn what use cases will impact Enterprise #Ethereum? Can supply chain provenance be tracked with blockchain? @ConsenSys now has a fleet of free webinars on all the #blockchain hot topics.
5,201922,ethereumJoseph,2019-08-13 14:39:41+00:00,117,323,#Ethereum,Time to get friendly with #Ethereum 2.0. @tzapulica from @AlethioEthstats compiled a simple glossary for some of the basic vocabulary and concepts involved in Serenity.
