,period,username,date,retweets,favorites,hashtags,text
1,201921,TuurDemeester,2019-07-15 12:18:57+00:00,66,363,,"Vitalik proposes to store Ethereum blockchain data on Bitcoin Cash. Terrible idea imo: nobody uses BCash and it has the same mining algo as Bitcoin, making it extremely vulnerable to 51% attacks. "
2,201921,TuurDemeester,2019-07-11 03:23:00+00:00,4,16,,"Method: search github for words ""ethereum"" &amp; ""bitcoin"", then chart the number of results (repositories) per year. Credit goes to @Bitcom21. (With all caveats of course, this measure is gameable and it doesn't distinguish between high or low quality of code/project.)"
3,201921,TuurDemeester,2019-07-11 03:22:04+00:00,6,14,,"Ethereum's ""market share"" vs Bitcoin, jumped to 53% in 2018 and is now at 50%. "
4,201921,TuurDemeester,2019-07-11 03:18:50+00:00,22,94,#Bitcoin #Bitcoin #Ethereum,Proxy for #Bitcoin vs #Ethereum developer activity ('19 results up to July 9 annualized) 
5,201921,ethereumJoseph,2019-07-12 19:03:10+00:00,9,58,#Ethereum,Thrilled to be attending @dappcon_berlin once again next month. The technical content last year was in a league of its own. @gnosisPM fills the room with devs who are on the front lines tackling real infrastructure issues on #Ethereum. https://dappcon.io/
6,201921,ethereumJoseph,2019-07-12 17:15:04+00:00,17,48,#Ethereum,"Testimonials from users who are already seeing the benefit of using @PegaSysEng's Enterprise #Ethereum client, Pantheon. Take advantage of extensive dev docs, global support team, advanced privacy options, open-source transparency, and granular permissions "
7,201921,ethereumJoseph,2019-07-10 18:45:32+00:00,46,201,#Ethereum #blockchain,"2019 has been the year of @austingriffith's Burner Wallet. It's a simple but functional way to onboard #Ethereum users, and the best way to buy tacos at @EthereumDenver. Here he shares his experience building it, and what it means for #blockchain adoption."
