,period,username,date,retweets,favorites,hashtags,text
1,201923,SatoshiLite,2019-09-25 20:01:39+00:00,2,27,,"Yes, but not more than Litecoin or Bitcoin."
2,201923,cz_binance,2019-09-23 11:50:39+00:00,50,175,,"Great 5 min tutorial on openning a Binance US Bitcoin Trading Account Takes less than that to register and KYC, seamless experience. If you don't believe me, try it! "
3,201923,ErikVoorhees,2019-09-25 18:03:05+00:00,3,26,#bitcoin #bitcoin #crypto #blockchain,Medium: We’re Going Back to the Features by @ShapeShift_io https://link.medium.com/SrrPP5Uch0 #bitcoin #crypto #blockchain
4,201923,ErikVoorhees,2019-09-24 21:37:13+00:00,6,15,#bitcoin #bitcoin #crypto,How to setup your KeepKey on the new ShapeShift platform: https://keepkey.shapeshift.com/get-started/ #bitcoin #crypto
5,201923,ErikVoorhees,2019-09-24 02:03:01+00:00,855,4870,,"If you bought Bitcoin this summer at $12,000 because it was going up, and you’re selling it now at $9,700 because it’s going down, you’re doing it wrong. “Hodl” isn’t just a cute meme... it’s wisdom from the elders who have been here before."
6,201923,APompliano,2019-09-25 23:12:46+00:00,0,4,,Bitcoin is only up 200% so far this year. Slow year I guess lol
7,201923,APompliano,2019-09-25 23:11:20+00:00,0,5,,Ha! You should have stopped me. Too funny...that would be @polina_marinova's worst nightmare for someone to talk Bitcoin while we're running 
8,201923,APompliano,2019-09-25 23:04:16+00:00,0,2,,Every institutional investor we have is invested in both. That is the nature of our funds. They have to get exposure to Bitcoin if they invest with us :)
9,201923,APompliano,2019-09-25 20:44:30+00:00,512,2611,,Every time Bitcoin drops 5-10% the critics come out and start making noise. Ignore them. The truth is that the asset is up more than 200% this year and it remains the best performing asset over the last decade. Haters hate facts and math 
10,201923,APompliano,2019-09-25 19:51:14+00:00,2,130,,"Peter you own Bitcoin and haven't sold it, so does that make you a greater fool???? "
11,201923,APompliano,2019-09-25 19:00:55+00:00,186,1270,,"Large institutional investors aren't trying to time the market when they buy Bitcoin. They do their research, develop a thesis, make a decision, invest their capital in a prudent &amp; disciplined way, and hold it for the long term. Don't try to outsmart yourself."
12,201923,APompliano,2019-09-25 15:16:15+00:00,132,862,,"This week the CEOs of WeWork and Juul stepped down, while the US President faces an impeachment inquiry. These events reiterate why Bitcoin’s lack of leadership and the unknown creator story remain one of the currency’s greatest advantages."
13,201923,APompliano,2019-09-25 12:23:10+00:00,193,903,,"Everyone was screaming about Bitcoin's hash rate drop yesterday. Today it has recovered. As many others mentioned, hash rate data is an estimation and shouldn't be counted on for accuracy in short, fixed periods of time. Onwards for the world's most secure computing network! "
14,201923,APompliano,2019-09-25 11:19:14+00:00,140,557,,"New episode with Bitcoin OG @TraceMayer! We discuss Trace's background that helped him see Bitcoin early, why he was so convicted, how Bitcoin fits into the macro economy, and what makes Trace the HODLer of Last Resort. You don't want to miss this one! "
15,201923,APompliano,2019-09-25 01:38:00+00:00,1,20,,"You just misrepresented what I said. Nothing goes up forever in a straight line. There are mini bull and bear cycles, both in price and hash rate. It’s not lost on me that you have an agenda, but the market has so far decided that Bitcoin is the most valuable asset. "
16,201923,APompliano,2019-09-25 01:17:38+00:00,1132,2406,,Retweet to remind the haters that Bitcoin will survive today’s crash 
17,201923,APompliano,2019-09-24 22:00:22+00:00,200,1599,,Bitcoin’s short term price movements have nothing to do with the long term outlook. This is true in both directions.
18,201923,APompliano,2019-09-24 15:39:15+00:00,452,5232,,I bought more Bitcoin today 
19,201923,APompliano,2019-09-24 01:47:52+00:00,246,1611,,Bitcoin is a test of patience and discipline.
20,201923,APompliano,2019-09-24 00:37:35+00:00,0,23,,I am just like everyone else — trying to accumulate as much Bitcoin each day as possible :)
21,201923,APompliano,2019-09-24 00:06:53+00:00,66,367,,Bitcoin is different things to different people. And that is what makes it so powerful.
22,201923,APompliano,2019-09-23 23:56:24+00:00,37,130,,There is one team that tracked down the funds from the QuadrigaCX exit scam and uncovered the $2+ billion PulseToken Ponzi scheme. Stopping these bad actors and nonsense is important to the institutional adoption of Bitcoin. @elementus_io 
23,201923,APompliano,2019-09-23 23:36:44+00:00,130,575,,"Want $50 in free Bitcoin? Sign up for a Blockfi Interest Account using this link, deposit some Bitcoin, and they’ll give you $50 in BTC if you do it before Sept 30th. Pomp’s got you....always :) https://app.blockfi.com/signup?ref=88a2c6b8"
