,period,username,date,retweets,favorites,hashtags,text
38,201921,APompliano,2019-07-15 11:51:35+00:00,23,108,,"New episode live with @farbood! We discuss cryptocurrency mining, privacy, freedom, building consumer products, and and why the team built a new feature called Bitcoin mode. You'll love this one! "
39,201921,APompliano,2019-07-15 01:17:16+00:00,0,4,,"Bitcoin doesn’t have SMS. Sorry, I couldn’t resist. "
40,201921,APompliano,2019-07-15 01:02:09+00:00,0,23,,The staff would be so excited. They’re big Bitcoin fans 
41,201921,APompliano,2019-07-15 01:00:46+00:00,0,1,,He was one of very early investors in Bitcoin. Is even in the Digital Gold book if I remember correctly
42,201921,APompliano,2019-07-15 00:44:09+00:00,0,28,,I take @polina_marinova on a date every Sunday to the McDonalds in Times Square. You should join. She hasn’t heard enough about Bitcoin and Bedford yet 
43,201921,APompliano,2019-07-15 00:14:00+00:00,34,447,,"Bitcoin was $3,200 in December. I think it is doing alright :)"
44,201921,APompliano,2019-07-14 23:57:59+00:00,1,12,,Congrats. Post the Bitcoin wallet address so we can all send a few satoshis to get the little guy off to a great start :)
45,201921,APompliano,2019-07-14 22:24:23+00:00,173,1621,,Bitcoin is 10X money
46,201921,APompliano,2019-07-14 16:50:12+00:00,422,2630,,There isn’t a government or central bank that is unaware of Bitcoin. Bitcoin has shocked the world 
47,201921,APompliano,2019-07-14 13:35:53+00:00,432,2293,,"Gold market cap: $7.8 Trillion Bitcoin market cap: $200 Billion Gold's market cap is 39X larger than Bitcoin. It won't happen overnight, but Bitcoin is slowly catching up "
48,201921,APompliano,2019-07-13 23:28:44+00:00,90,913,,NYC electricity is down....but Bitcoin still accessible 
49,201921,APompliano,2019-07-13 22:13:06+00:00,2,43,,"Horrible for the world, but would essentially cement Bitcoin as the global winner"
50,201921,APompliano,2019-07-13 22:09:23+00:00,14,153,,"Yes, exactly. The idea of Bitcoin having a regulatory moat is incredible. You couldn’t write a better movie script for Bitcoin’s rise."
51,201921,APompliano,2019-07-13 22:07:54+00:00,979,4538,,"WOW!! Congress has drafted a bill called “Keep Big Tech Out Of Finance” which would prevent large tech companies from becoming finance companies and launching digital assets. Unlikely to succeed, but this is the most bullish thing for Bitcoin I’ve heard in weeks! "
52,201921,APompliano,2019-07-13 22:00:14+00:00,37,768,,Chrissy — DM me and I’ll give you the 10 minute summary on Bitcoin. Then you can go viral on Bitcoin twitter over and over again.
53,201921,APompliano,2019-07-13 13:49:00+00:00,476,1790,,This week in crypto: 1. Fed Chair compared BTC & Gold 2. Miami Dolphins accept BTC & LTC 3. @Blockstack is Reg A+ approved 4. @Binance launches margin trading 5. @Figure hits $85M/month in loans 6. Bitcoin still not dead :) We continue to march towards the inevitable 
54,201921,APompliano,2019-07-12 16:51:39+00:00,951,4800,,"Dear @realDonaldTrump, You can’t change Bitcoin’s monetary policy, supply schedule, interest rate, or transaction history. There is no CEO or employees. No one will answer customer service complaints. But you can always count on Bitcoin. It never goes down. Love, Pomp"
55,201921,APompliano,2019-07-12 14:59:11+00:00,318,1204,,"Here is the full video from @SquawkCNBC this morning. We talked about Bitcoin, @realDonaldTrump’s tweets, the Federal Reserve, Libra and the math behind a $10M Bitcoin in the future. "
56,201921,APompliano,2019-07-12 13:15:32+00:00,0,3,,$8-10M Bitcoin price 
57,201921,APompliano,2019-07-12 13:15:11+00:00,1,25,,Told Joe that he should bring the President on and have a Bitcoin education session
58,201921,APompliano,2019-07-12 12:56:09+00:00,135,1779,,"Hanging with @MelissaLeeCNBC and @JoeSquawk, the two biggest Bitcoin bulls on Wall Street "
59,201921,APompliano,2019-07-12 12:13:33+00:00,0,2,,“Get Bitcoin” is an interesting edit to the saying :)
60,201921,APompliano,2019-07-12 09:50:11+00:00,233,1154,,Bitcoin is the most anti-fragile asset in the world 
61,201921,APompliano,2019-07-12 03:22:11+00:00,168,1192,,"I’ll be on @SquawkCNBC tomorrow AM (Friday) at 8:40am EST talking about Bitcoin, Trump, and Libra. You’re not going to want to miss this one "
62,201921,APompliano,2019-07-12 03:12:00+00:00,391,4262,,"If your argument is that Bitcoin is based on thin air, while Bitcoin’s argument is that it is based on math, who should we believe? Asking for a friend :)"
63,201921,APompliano,2019-07-12 00:52:33+00:00,124,1233,,Lol guess he finally did the Bitcoin tweet 
64,201921,APompliano,2019-07-11 22:44:22+00:00,1,22,,You must not understand how Bitcoin spread across technology circles in the early days. Money is the most vital product in the world. Word of mouth is powerful. Who first told you about Bitcoin?
65,201921,APompliano,2019-07-11 22:37:23+00:00,280,1157,,Today the Chairman of the Federal Reserve admitted the possibility of Bitcoin becoming the globally dominant currency &amp; rendering current reserve assets worthless. “We overestimate what we can do in 1 year and underestimate what we can do in 10 years” — Bill Gates Incredible 
66,201921,APompliano,2019-07-11 21:35:36+00:00,23,243,,Who is the most important person that currently doesn't understand or believe in Bitcoin that you would like to see change their mind?
67,201921,APompliano,2019-07-11 19:58:58+00:00,80,606,,Twitter went down. Bitcoin never goes down. 
68,201921,APompliano,2019-07-11 16:05:23+00:00,434,1846,,"“It’s a store of value” — Jerome Powell, Chairman of the Federal Reserve talking to the Senate Banking Committee about Bitcoin THE VIRUS IS SPREADING "
69,201921,APompliano,2019-07-11 16:03:17+00:00,64,758,,UPDATE: Bitcoin didn’t go to $0 
70,201921,APompliano,2019-07-11 15:07:15+00:00,17,266,,"You won't tell them to cut rates and print more money, while Bitcoin gets more scarce. You won't do it!"
71,201921,APompliano,2019-07-11 14:33:53+00:00,0,3,,"I don't have majority of my wealth in fiat and going long Bitcoin, short the bankers has actually been accurate "
72,201921,APompliano,2019-07-11 13:59:14+00:00,1,10,,The Bitcoin bag guy in the profile description is the ultimate flex. Love it!
73,201921,APompliano,2019-07-11 11:48:26+00:00,9,71,,"Yes, but the central bank digital currencies are going to happen regardless of whether we like them or not. Accelerating their development gets more people familiar with digital currencies and wallets, which opens the door to educate them on why Bitcoin is sound money"
74,201921,APompliano,2019-07-11 11:42:35+00:00,10,164,,"The Stable Genius would definitely be accumulating Bitcoin quietly. We're on to your plan, Trump!"
75,201921,APompliano,2019-07-11 11:38:47+00:00,5,32,,"The faster they all develop their own, the faster that their populations become familiar with digital currencies. Once they are familiar, many of them will migrate towards Bitcoin, a sound money that can't be manipulated or controlled by a government."
76,201921,APompliano,2019-07-11 10:22:05+00:00,0,2,,"If he converts, he will become a great proponent of Bitcoin"
77,201921,APompliano,2019-07-10 19:18:30+00:00,836,6287,,CONFIRMED: @PeterSchiff and I will be debating Bitcoin and Gold on CNBC’s Crypto Trader with @cryptomanran as the moderator. Peter should get a lot of credit for agreeing to this. Hopefully he walks away a Bitcoin believer 
78,201921,APompliano,2019-07-10 18:22:19+00:00,72,362,,"Long Bitcoin, Short the Bankers! "
79,201921,APompliano,2019-07-10 12:51:32+00:00,0,1,,"Because Bitcoin’s monetary policy can’t be impacted or manipulated. When we get into recessions, central banks cut rates and print money. No thank you :)"
80,201921,APompliano,2019-07-10 12:47:33+00:00,446,1920,,BUY BITCOIN 
81,201921,APompliano,2019-07-10 12:32:14+00:00,625,2406,,"Bitcoin has been profitable to buy and hold till now in USD terms 3,777 days out of 3,837 days since creation. (H/t @Rhythmtrader) That is 98.4% of the days it has been in existence. Don’t get distracted by the noise. The math is undeniable."
82,201921,APompliano,2019-07-10 12:24:51+00:00,0,2,,"....I’m the one who got people to send him the Bitcoin which is why Peter is doing this. To be a good troll, you have to pay attention or else you just look salty "
83,201921,APompliano,2019-07-10 11:31:09+00:00,76,284,,Are you a former Mt Gox customer who was affected by the hack? You can now sell your Bitcoin claims to Fortress Investment Group for $900 per Bitcoin. 
84,201921,APompliano,2019-07-10 02:23:21+00:00,473,3916,,"Bitcoin just broke $13,000 "
85,201921,NickSzabo4,2019-07-12 22:14:41+00:00,0,10,,"They're generally far from being overlooked by Bitcoin developers. The vast majority of these issues are just altcoin marketing points for which the coin doesn't have a solution that doesn't make some more important aspect, usually trust minimization, far worse."
86,201921,NickSzabo4,2019-07-12 04:35:12+00:00,1,7,,"Though Bitcoin doesn't depend on law for its security, we still have to live in jurisdictions. A common legal doctrine is the scientifically false definition of money as only only official government currencies. Turns out it actually makes many laws less onerous for crypto."
87,201921,maxkeiser,2019-07-15 23:47:11+00:00,28,110,#Bitcoin #Bitcoin,Trump has a chance to lead to #Bitcoin greatness by adding BTC to strategic reserves. Not to do so now will go down as one of the biggest Presidential blunders in history. Bigger than Bay of Pigs Invasion by Kennedy or even Watergate. 
88,201921,maxkeiser,2019-07-15 23:13:16+00:00,11,52,#Bitcoin #Bitcoin,#Bitcoin vs ETH 
89,201921,maxkeiser,2019-07-15 22:52:29+00:00,3,66,,Bitcoin**
90,201921,maxkeiser,2019-07-15 22:46:50+00:00,55,290,#Bitcojn,"BDS (Bitcoin Derangement Syndrome) will break out on the sovereign level as countries attempt to gobble up all the #Bitcojn supply at any cost. None will succeed, but they will destroy fiat trying, as price Moons. Exactly as Satoshi planned it."
